Sequences	Score	Value
C0MBS1.1|OBG_STRE4|Full=GTPase Obg|Full=G	724	0.0   
B4U3Q7.1|OBG_STREM|Full=GTPase Obg|Full=G	722	0.0   
C0MDB4.1|OBG_STRS7|Full=GTPase Obg|Full=G	722	0.0   
Q8DYL0.1|OBG_STRA5|Full=GTPase Obg|Full=G	719	0.0   
Q8E465.1|OBG_STRA3|Full=GTPase Obg|Full=G	719	0.0   
Q3K046.1|OBG_STRA1|Full=GTPase Obg|Full=G	719	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	716	0.0   
B9DSH7.1|OBG_STRU0|Full=GTPase Obg|Full=G	699	0.0   
Q8KY50.1|STKP_STREE|Full=Serine/threonine-protein k	697	0.0   
P0A3B1.1|BIPA_ECOL6|Full=50S ribosomal subunit asse	669	0.0   
P0A3B3.1|BIPA_ECO57|Full=50S ribosomal subunit asse	669	0.0   
P0A3B4.1|BIPA_SHIFL|Full=50S ribosomal subunit asse	669	0.0   
P0DTT0.1|BIPA_ECOLI|Full=50S ribosomal subunit asse	669	0.0   
H9L427.1|BIPA_SALTY|Full=50S ribosomal subunit asse	664	0.0   
Q9ZLZ3.1|BIPA_HELPJ|Full=50S ribosomal subunit asse	651	0.0   
Q834V4.1|OBG_ENTFA|Full=GTPase Obg|Full=G	637	0.0   
P56836.2|DNAK_CHLMU|Full=Chaperone protein DnaK|Al	635	0.0   
Q00768.3|CH602_STRAL|Full=60 kDa chaperonin 2|AltN	622	0.0   
P37251.4|ILVB_BACSU|Full=Acetolactate synthase larg	620	0.0   
P9WPC8.1|CLPC1_MYCTO|Full=ATP-dependent Clp proteas	614	0.0   
Q00767.3|CH601_STRAL|Full=60 kDa chaperonin 1|AltN	611	0.0   
Q9CF94.1|OBG_LACLA|Full=GTPase Obg|Full=G	608	0.0   
P0A521.2|CH602_MYCBO|Full=60 kDa chaperonin 2|AltN	608	0.0   
O33963.1|CH60_BARHE|Full=60 kDa chaperonin|AltName	605	0.0   
A2RJQ6.1|OBG_LACLM|Full=GTPase Obg|Full=G	605	0.0   
Q02XY2.1|OBG_LACLS|Full=GTPase Obg|Full=G	604	0.0   
P95830.2|DNAJ_STRPN|Full=Chaperone protein DnaJ	602	0.0   
Q8CWT2.1|DNAJ_STRR6|Full=Chaperone protein DnaJ	598	0.0   
P42383.2|CH60_HELPY|Full=60 kDa chaperonin|AltName	596	0.0   
O33964.1|CH60_BARQU|Full=60 kDa chaperonin|AltName	596	0.0   
Q1WT46.1|OBG_LACS1|Full=GTPase Obg|Full=G	593	0.0   
Q8DWH2.1|DNAJ_STRMU|Full=Chaperone protein DnaJ	592	0.0   
A0AIY6.1|OBG_LISW6|Full=GTPase Obg|Full=G	591	0.0   
B8DHL1.1|OBG_LISMH|Full=GTPase Obg|Full=G	590	0.0   
Q8Y6Z3.1|OBG_LISMO|Full=GTPase Obg|Full=G	589	0.0   
Q71ZD3.1|OBG_LISMF|Full=GTPase Obg|Full=G	589	0.0   
Q5M1T7.1|DNAJ_STRT1|Full=Chaperone protein DnaJ	588	0.0   
Q5M6D0.1|DNAJ_STRT2|Full=Chaperone protein DnaJ	588	0.0   
Q92BH7.1|OBG_LISIN|Full=GTPase Obg|Full=G	588	0.0   
B2SCZ4.1|CH60_BRUA1|Full=60 kDa chaperonin|AltName	587	0.0   
Q7WVY0.1|CH602_ANASL|Full=60 kDa chaperonin 2|AltN	581	0.0   
P37476.1|FTSH_BACSU|Full=ATP-dependent zinc metallo	580	0.0   
Q3K3T1.1|DNAJ_STRA1|Full=Chaperone protein DnaJ	578	0.0   
Q8E298.1|DNAJ_STRA5|Full=Chaperone protein DnaJ	578	0.0   
Q8E7Q7.1|DNAJ_STRA3|Full=Chaperone protein DnaJ	577	0.0   
B1HVB2.2|OBG_LYSSC|Full=GTPase Obg|Full=G	573	0.0   
Q65GM7.1|OBG_BACLD|Full=GTPase Obg|Full=G	568	0.0   
B9DVF2.1|DNAJ_STRU0|Full=Chaperone protein DnaJ	563	1e-180
A7Z781.1|OBG_BACVZ|Full=GTPase Obg|Full=G	563	5e-180
B7GIR2.1|OBG_ANOFW|Full=GTPase Obg|Full=G	562	1e-179
Q5XAD7.2|DNAJ_STRP6|Full=Chaperone protein DnaJ	558	4e-179
Q8NZM7.1|DNAJ_STRP8|Full=Chaperone protein DnaJ	558	4e-179
P0C0B5.1|DNAJ_STRPY|Full=Chaperone protein DnaJ	558	5e-179
P0DA70.1|DNAJ_STRP3|Full=Chaperone protein DnaJ	557	1e-178
P0DA71.1|DNAJ_STRPQ|Full=Chaperone protein DnaJ	557	1e-178
P0C0B6.1|DNAJ_STRP1|Full=Chaperone protein DnaJ	557	1e-178
P15599.1|CH601_CHLCV|Full=60 kDa chaperonin 1|AltN	564	2e-178
Q3KMQ9.3|CH60_CHLTA|Full=60 kDa chaperonin|AltName	563	3e-178
A8FFS8.1|OBG_BACP2|Full=GTPase Obg|Full=G	556	2e-177
Q9AMJ8.1|CH601_ANASL|Full=60 kDa chaperonin 1|AltN	558	1e-176
P20964.1|OBG_BACSU|Full=GTPase Obg|Full=G	552	4e-176
A8AZN1.1|HSLO_STRGC|Full=33 kDa chaperonin|AltName	546	4e-176
P0CE48.1|EFTU2_ECOLI|Full=Elongation factor Tu 2|S	548	3e-175
P0CE47.1|EFTU1_ECOLI|Full=Elongation factor Tu 1|S	548	4e-175
Q72ZY5.1|OBG_BACC1|Full=GTPase Obg|Full=G	548	1e-174
Q9KDK0.1|OBG_BACHD|Full=GTPase Obg|Full=G	547	3e-174
Q5KWP5.1|OBG_GEOKA|Full=GTPase Obg|Full=G	546	7e-174
B7HQJ8.1|OBG_BACC7|Full=GTPase Obg|Full=G	545	1e-173
Q817U6.1|OBG_BACCR|Full=GTPase Obg|Full=G	545	2e-173
Q9LAM9.1|MSRAB_STRGC|Full=Peptide methionine sulfox	539	2e-173
B7HE73.1|OBG_BACC4|Full=GTPase Obg|Full=G	544	2e-173
Q03QP2.1|OBG_LACBA|Full=GTPase Obg|Full=G	544	3e-173
Q81LF0.1|OBG_BACAN|Full=GTPase Obg|Full=G	544	3e-173
Q9WWG9.1|DNAK_PSESG|Full=Chaperone protein DnaK|Al	553	3e-173
B7JQ26.1|OBG_BACC0|Full=GTPase Obg|Full=G	544	3e-173
Q634A3.1|OBG_BACCZ|Full=GTPase Obg|Full=G	544	4e-173
Q6HD85.1|OBG_BACHK|Full=GTPase Obg|Full=G	544	4e-173
A0RJ47.1|OBG_BACAH|Full=GTPase Obg|Full=G	544	4e-173
C1ETN7.1|OBG_BACC3|Full=GTPase Obg|Full=G	544	4e-173
B9IZ16.1|OBG_BACCQ|Full=GTPase Obg|Full=G	543	4e-173
A4IRC7.1|OBG_GEOTN|Full=GTPase Obg|Full=G	543	6e-173
Q38WT4.1|OBG_LACSS|Full=GTPase Obg|Full=G	541	2e-172
B7IIV2.1|OBG_BACC2|Full=GTPase Obg|Full=G	541	4e-172
A9VIR5.1|OBG_BACMK|Full=GTPase Obg|Full=G	538	5e-171
B2GBD0.1|OBG_LACF3|Full=GTPase Obg|Full=G	538	6e-171
A5VJ99.1|OBG_LACRD|Full=GTPase Obg|Full=G	535	4e-170
B2G6R9.1|OBG_LACRJ|Full=GTPase Obg|Full=G	535	4e-170
P9WHG9.1|RELA_MYCTU|Full=Bifunctional (p)ppGpp synt	545	4e-169
P37572.1|RADA_BACSU|Full=DNA repair protein RadA|A	533	8e-169
Q88VG4.1|OBG_LACPL|Full=GTPase Obg|Full=G	530	3e-168
P0AG24.1|SPOT_ECOLI|Full=Bifunctional (p)ppGpp synt	538	6e-167
P9WMQ0.1|UVRD1_MYCTO|Full=ATP-dependent DNA helicas	535	3e-165
P9WMQ1.1|UVRD1_MYCTU|Full=ATP-dependent DNA helicas	535	3e-165
P80858.1|LEUC_BACSU|Full=3-isopropylmalate dehydrat	518	1e-163
Q5WHS8.1|OBG_BACSK|Full=GTPase Obg|Full=G	515	3e-163
Q8EPQ0.1|OBG_OCEIH|Full=GTPase Obg|Full=G	512	4e-162
Q81IT9.2|CSHA_BACCR|Full=DEAD-box ATP-dependent RNA	516	7e-162
Q8KFZ5.1|GUAA_CHLTE|Full=GMP synthase [glutamine-hy	514	2e-161
Q02VR5.1|DNAJ_LACLS|Full=Chaperone protein DnaJ	507	4e-161
A2RP20.1|DNAJ_LACLM|Full=Chaperone protein DnaJ	507	4e-161
P35514.2|DNAJ_LACLA|Full=Chaperone protein DnaJ	507	5e-161
B1YJR9.1|OBG_EXIS2|Full=GTPase Obg|Full=G	508	2e-160
Q7WSY8.2|CLPB_PROFC|Full=Chaperone protein ClpB	523	9e-160
B9DNE7.1|OBG_STACT|Full=GTPase Obg|Full=G	505	1e-159
Q93Q66.1|DNAJ_LACLC|Full=Chaperone protein DnaJ	502	2e-159
Q6G8S5.1|OBG_STAAS|Full=GTPase Obg|Full=G	499	1e-157
Q7A0Q3.1|OBG_STAAW|Full=GTPase Obg|Full=G	499	1e-157
Q7A584.1|OBG_STAAN|Full=GTPase Obg|Full=G	499	1e-157
Q99TK9.1|OBG_STAAM|Full=GTPase Obg|Full=G	499	1e-157
Q2FXT1.1|OBG_STAA8|Full=GTPase Obg|Full=G	499	1e-157
Q2FG83.1|OBG_STAA3|Full=GTPase Obg|Full=G	499	1e-157
A6U2B2.1|OBG_STAA2|Full=GTPase Obg|Full=G	499	1e-157
A5ITG8.1|OBG_STAA9|Full=GTPase Obg|Full=G	499	1e-157
A8Z2H2.1|OBG_STAAT|Full=GTPase Obg|Full=G	499	1e-157
A6QHI6.1|OBG_STAAE|Full=GTPase Obg|Full=G	499	1e-157
A7X361.1|OBG_STAA1|Full=GTPase Obg|Full=G	499	1e-157
P71404.2|CLPB_HELPY|Full=Chaperone protein ClpB	516	2e-157
Q49Y82.1|OBG_STAS1|Full=GTPase Obg|Full=G	498	3e-157
Q6GG60.1|OBG_STAAR|Full=GTPase Obg|Full=G	498	3e-157
Q5HFB9.1|OBG_STAAC|Full=GTPase Obg|Full=G	497	8e-157
Q03F34.1|OBG_PEDPA|Full=GTPase Obg|Full=G	496	2e-156
Q03YT6.1|OBG_LEUMM|Full=GTPase Obg|Full=G	495	4e-156
Q4L6Y9.1|OBG_STAHJ|Full=GTPase Obg|Full=G	495	4e-156
Q5HNQ7.1|OBG_STAEQ|Full=GTPase Obg|Full=G	493	1e-155
Q8CNZ7.1|OBG_STAES|Full=GTPase Obg|Full=G	493	1e-155
P0A6H1.2|CLPX_ECOLI|Full=ATP-dependent Clp protease	491	6e-155
Q2YT86.1|OBG_STAAB|Full=GTPase Obg|Full=G	491	8e-155
B3WE52.1|OBG_LACCB|Full=GTPase Obg|Full=G	489	5e-154
Q039J3.1|OBG_LACP3|Full=GTPase Obg|Full=G	488	6e-154
P0A6P9.2|ENO_ECOLI|Full=Enolase|Full=2-ph	489	6e-154
P0A519.1|CH601_MYCBO|Full=60 kDa chaperonin 1|AltN	492	1e-153
B1N057.2|OBG_LEUCK|Full=GTPase Obg|Full=G	480	1e-150
P0A8N5.2|SYK2_ECOLI|Full=Lysine--tRNA ligase- heat 	481	5e-150
O34364.1|O16G2_BACSU|Full=Probable oligo-1-6-glucos	482	1e-149
Q04EZ8.1|OBG_OENOB|Full=GTPase Obg|Full=G	472	4e-148
C0ZAL7.1|OBG_BREBN|Full=GTPase Obg|Full=G	469	3e-147
Q74JN7.1|OBG_LACJO|Full=GTPase Obg|Full=G	467	2e-146
Q21W48.1|GUAA_RHOFT|Full=GMP synthase [glutamine-hy	471	4e-146
O34952.1|LTAS2_BACSU|Full=Lipoteichoic acid synthas	473	2e-145
Q043W1.1|OBG_LACGA|Full=GTPase Obg|Full=G	462	7e-145
A8YV14.1|OBG_LACH4|Full=GTPase Obg|Full=G	461	2e-144
Q5FKH5.1|OBG_LACAC|Full=GTPase Obg|Full=G	461	2e-144
Q04B11.1|OBG_LACDB|Full=GTPase Obg|Full=G	459	1e-143
Q1GAM3.1|OBG_LACDA|Full=GTPase Obg|Full=G	459	2e-143
O87778.1|DNAJ_LACSK|Full=Chaperone protein DnaJ	452	3e-142
Q835R5.1|DNAJ_ENTFA|Full=Chaperone protein DnaJ	453	4e-142
Q38W94.1|DNAJ_LACSS|Full=Chaperone protein DnaJ	452	5e-142
B8H444.1|FTSH_CAUVN|Full=ATP-dependent zinc metallo	460	3e-141
Q8DTN6.1|NRNA_STRMU|Full=Probable bifunctional olig	442	9e-140
Q2FWH5.1|CSHA_STAA8|Full=DEAD-box ATP-dependent RNA	451	1e-139
P42919.3|RL2_BACSU|Full=50S ribosomal protein L2|S	440	2e-139
Q03FR6.1|DNAJ_PEDPA|Full=Chaperone protein DnaJ	442	9e-139
Q93R26.1|DNAJ_TETHA|Full=Chaperone protein DnaJ	441	6e-138
Q7TXH6.1|LEUC_MYCBO|Full=3-isopropylmalate dehydrat	439	3e-136
Q88VM1.1|DNAJ_LACPL|Full=Chaperone protein DnaJ	430	3e-134
P0AG20.1|RELA_ECOLI|Full=GTP pyrophosphokinase|Alt	442	1e-133
A4J7I9.1|OBG_DESRM|Full=GTPase Obg|Full=G	427	2e-132
B0TBW1.1|OBG_HELMI|Full=GTPase Obg|Full=G	417	9e-129
A5D410.1|OBG_PELTS|Full=GTPase Obg|Full=G	416	1e-128
A8MHK8.1|OBG_ALKOO|Full=GTPase Obg|Full=G	416	2e-128
Q0AWJ4.1|OBG_SYNWW|Full=GTPase Obg|Full=G	409	2e-126
B8I179.1|OBG_RUMCH|Full=GTPase Obg|Full=G	409	3e-126
B1HUD0.1|DNAJ_LYSSC|Full=Chaperone protein DnaJ	405	7e-126
B3WEQ6.1|DNAJ_LACCB|Full=Chaperone protein DnaJ	405	2e-125
Q038N5.1|DNAJ_LACP3|Full=Chaperone protein DnaJ	405	2e-125
B9DNJ9.1|DNAJ_STACT|Full=Chaperone protein DnaJ	404	2e-125
B8CXZ0.1|OBG_HALOH|Full=GTPase Obg|Full=G	405	9e-125
Q3AF51.1|OBG_CARHZ|Full=GTPase Obg|Full=G	404	2e-124
Q8CP18.1|DNAJ_STAES|Full=Chaperone protein DnaJ	399	8e-124
C5D4U0.1|DNAJ_GEOSW|Full=Chaperone protein DnaJ	400	8e-124
B1KZR3.1|OBG_CLOBM|Full=GTPase Obg|Full=G	401	1e-123
A5VJE8.1|DNAJ_LACRD|Full=Chaperone protein DnaJ	399	1e-123
B2G6W4.1|DNAJ_LACRJ|Full=Chaperone protein DnaJ	399	1e-123
Q5HNW7.1|DNAJ_STAEQ|Full=Chaperone protein DnaJ	399	1e-123
A7GHK2.1|OBG_CLOBL|Full=GTPase Obg|Full=G	400	3e-123
A7FXU6.1|OBG_CLOB1|Full=GTPase Obg|Full=G	400	3e-123
A5I666.1|OBG_CLOBH|Full=GTPase Obg|Full=G	400	3e-123
B1ILY5.1|OBG_CLOBK|Full=GTPase Obg|Full=G	400	3e-123
O69269.1|DNAJ_LYSSH|Full=Chaperone protein DnaJ	397	7e-123
A4XJS8.2|OBG_CALS8|Full=GTPase Obg|Full=G	399	1e-122
Q9KWS6.1|DNAJ_PARTM|Full=Chaperone protein DnaJ	396	1e-122
Q03QU2.1|DNAJ_LACBA|Full=Chaperone protein DnaJ	396	1e-122
B9MRB8.1|OBG_CALBD|Full=GTPase Obg|Full=G	397	3e-122
Q49Y21.1|DNAJ_STAS1|Full=Chaperone protein DnaJ	394	6e-122
A0AIS3.1|DNAJ_LISW6|Full=Chaperone protein DnaJ	394	6e-122
Q71ZJ8.1|DNAJ_LISMF|Full=Chaperone protein DnaJ	394	1e-121
C1KVB9.1|DNAJ_LISMC|Full=Chaperone protein DnaJ	394	1e-121
P63971.1|DNAJ_STAAN|Full=Chaperone protein DnaJ	394	1e-121
P63972.1|DNAJ_STAAW|Full=Chaperone protein DnaJ	394	1e-121
P63970.1|DNAJ_STAAM|Full=Chaperone protein DnaJ	394	1e-121
Q5HFI1.1|DNAJ_STAAC|Full=Chaperone protein DnaJ	394	1e-121
Q6G8Y8.1|DNAJ_STAAS|Full=Chaperone protein DnaJ	394	1e-121
Q2FXZ3.1|DNAJ_STAA8|Full=Chaperone protein DnaJ	394	1e-121
Q2FGE4.1|DNAJ_STAA3|Full=Chaperone protein DnaJ	394	1e-121
A6U251.1|DNAJ_STAA2|Full=Chaperone protein DnaJ	394	1e-121
A5ITA7.1|DNAJ_STAA9|Full=Chaperone protein DnaJ	394	1e-121
A8Z4B8.1|DNAJ_STAAT|Full=Chaperone protein DnaJ	394	1e-121
A6QHC2.1|DNAJ_STAAE|Full=Chaperone protein DnaJ	394	1e-121
A7X2Y0.1|DNAJ_STAA1|Full=Chaperone protein DnaJ	394	1e-121
Q6GGC1.1|DNAJ_STAAR|Full=Chaperone protein DnaJ	393	1e-121
Q92BN9.1|DNAJ_LISIN|Full=Chaperone protein DnaJ	393	2e-121
B8DE39.1|DNAJ_LISMH|Full=Chaperone protein DnaJ	393	2e-121
G2K045.1|DNAJ_LISM4|Full=Chaperone protein DnaJ	393	2e-121
P0DJM1.1|DNAJ_LISMO|Full=Chaperone protein DnaJ	393	2e-121
A8FFD1.1|DNAJ_BACP2|Full=Chaperone protein DnaJ	393	2e-121
Q65H55.1|DNAJ_BACLD|Full=Chaperone protein DnaJ	392	2e-121
A0Q1T4.1|OBG_CLONN|Full=GTPase Obg|Full=G	394	4e-121
Q18B27.1|OBG_CLOD6|Full=GTPase Obg|Full=G	394	5e-121
P45555.1|DNAJ_STAAU|Full=Chaperone protein DnaJ	392	6e-121
Q2YT48.1|DNAJ_STAAB|Full=Chaperone protein DnaJ	390	1e-120
B9E6X0.1|DNAJ_MACCJ|Full=Chaperone protein DnaJ	389	2e-120
B2GBQ6.1|DNAJ_LACF3|Full=Chaperone protein DnaJ	390	2e-120
A7GT07.1|DNAJ_BACCN|Full=Chaperone protein DnaJ	388	5e-120
A7Z6W0.1|DNAJ_BACVZ|Full=Chaperone protein DnaJ	388	1e-119
A4IR30.1|DNAJ_GEOTN|Full=Chaperone protein DnaJ	388	1e-119
A3DBS5.1|OBG_HUNT2|Full=GTPase Obg|Full=G	390	1e-119
B0KAB8.1|OBG_THEP3|Full=GTPase Obg|Full=G	389	2e-119
B0K414.1|OBG_THEPX|Full=GTPase Obg|Full=G	389	2e-119
Q9EXP2.1|SUFS_DICD3|Full=Cysteine desulfurase|AltN	389	2e-119
Q97JL4.1|OBG_CLOAB|Full=GTPase Obg|Full=G	389	3e-119
Q8DVR0.1|BRPA_STRMU|Full=Biofilm regulatory protein	388	3e-119
B2TK70.1|OBG_CLOBB|Full=GTPase Obg|Full=G	387	1e-118
B8FUR9.1|OBG_DESHD|Full=GTPase Obg|Full=G	387	1e-118
Q044A8.1|DNAJ_LACGA|Full=Chaperone protein DnaJ	385	2e-118
Q74IT7.1|DNAJ_LACJO|Full=Chaperone protein DnaJ	385	2e-118
B1YKT0.1|DNAJ_EXIS2|Full=Chaperone protein DnaJ	383	3e-118
Q24SP0.1|OBG_DESHY|Full=GTPase Obg|Full=G	385	4e-118
P17631.3|DNAJ_BACSU|Full=Chaperone protein DnaJ	382	1e-117
Q8RBA5.1|OBG_CALS4|Full=GTPase Obg|Full=G	383	2e-117
Q67SC6.1|OBG_SYMTH|Full=GTPase Obg|Full=G	383	3e-117
P77212.2|RCLA_ECOLI|Full=Probable pyridine nucleoti	382	7e-117
Q5KWZ8.1|DNAJ_GEOKA|Full=Chaperone protein DnaJ	379	1e-116
Q8CXD3.1|DNAJ_OCEIH|Full=Chaperone protein DnaJ	378	3e-116
A6LQR9.1|OBG_CLOB8|Full=GTPase Obg|Full=G	380	4e-116
B2A6B7.1|OBG_NATTJ|Full=GTPase Obg|Full=G	379	2e-115
A6TQJ6.1|OBG_ALKMQ|Full=GTPase Obg|Full=G	377	3e-115
A9NF57.1|OBG_ACHLI|Full=GTPase Obg|Full=G	376	6e-115
Q9LA06.1|HTRA_LACLA|Full=Serine protease Do-like HtrA   375	9e-115
Q049W7.1|DNAJ_LACDB|Full=Chaperone protein DnaJ	373	2e-114
Q1G9R3.1|DNAJ_LACDA|Full=Chaperone protein DnaJ	373	2e-114
Q892N8.1|OBG_CLOTE|Full=GTPase Obg|Full=G	373	8e-114
Q84BU3.1|DNAJ_LACAC|Full=Chaperone protein DnaJ	367	2e-112
B2V0A8.1|OBG_CLOBA|Full=GTPase Obg|Full=G	369	2e-112
B9E021.2|OBG_CLOK1|Full=GTPase Obg|Full=G	369	3e-112
Q9KD71.1|DNAJ_BACHD|Full=Chaperone protein DnaJ	365	5e-112
B0BS63.1|MNMA_ACTPJ|Full=tRNA-specific 2-thiouridyl	365	1e-111
Q8XIJ2.1|OBG_CLOPE|Full=GTPase Obg|Full=G	364	1e-110
Q0SR54.1|OBG_CLOPS|Full=GTPase Obg|Full=G	364	1e-110
Q0TNI5.1|OBG_CLOP1|Full=GTPase Obg|Full=G	364	1e-110
A3MYN0.1|MNMA_ACTP2|Full=tRNA-specific 2-thiouridyl	362	2e-110
Q5WHG0.1|DNAJ_BACSK|Full=Chaperone protein DnaJ	359	1e-109
A9AXD9.1|OBG_HERA2|Full=GTPase Obg|Full=G	359	8e-109
Q2RKZ8.1|OBG_MOOTA|Full=GTPase Obg|Full=G	357	3e-108
A9KMF5.1|OBG_LACP7|Full=GTPase Obg|Full=G	355	1e-107
B9L101.1|OBG_THERP|Full=GTPase Obg|Full=G	357	2e-107
B8GA36.1|OBG_CHLAD|Full=GTPase Obg|Full=G	355	3e-107
Q730M2.1|DNAJ_BACC1|Full=Chaperone protein DnaJ	352	4e-107
B7HPL2.1|DNAJ_BACC7|Full=Chaperone protein DnaJ	352	4e-107
B9IY80.1|DNAJ_BACCQ|Full=Chaperone protein DnaJ	352	4e-107
B7IYG6.1|DNAJ_BACC2|Full=Chaperone protein DnaJ	351	7e-107
B7HCT9.1|DNAJ_BACC4|Full=Chaperone protein DnaJ	351	7e-107
B1I5V8.1|OBG_DESAP|Full=GTPase Obg|Full=G	353	7e-107
B7JN38.1|DNAJ_BACC0|Full=Chaperone protein DnaJ	350	1e-106
Q6HDK8.1|DNAJ_BACHK|Full=Chaperone protein DnaJ	350	1e-106
C3P8L9.1|DNAJ_BACAA|Full=Chaperone protein DnaJ	350	1e-106
C3L5R6.1|DNAJ_BACAC|Full=Chaperone protein DnaJ	350	1e-106
Q81LS3.1|DNAJ_BACAN|Full=Chaperone protein DnaJ	350	1e-106
Q634M8.1|DNAJ_BACCZ|Full=Chaperone protein DnaJ	350	2e-106
C1ESK7.1|DNAJ_BACC3|Full=Chaperone protein DnaJ	350	2e-106
Q9LCQ4.1|DNAJ_BRECH|Full=Chaperone protein DnaJ	349	3e-106
A9VHU0.1|DNAJ_BACMK|Full=Chaperone protein DnaJ	348	6e-106
P80880.3|TRXB_BACSU|Full=Thioredoxin reductase|Sho	344	2e-105
C0ZB49.1|DNAJ_BREBN|Full=Chaperone protein DnaJ	346	3e-105
Q818F0.1|DNAJ_BACCR|Full=Chaperone protein DnaJ	346	3e-105
Q8RHS8.1|OBG_FUSNN|Full=GTPase Obg|Full=G	347	8e-105
A9WK62.1|OBG_CHLAA|Full=GTPase Obg|Full=G	347	1e-104
B9LC30.1|OBG_CHLSY|Full=GTPase Obg|Full=G	347	1e-104
B1LA53.1|OBG_THESQ|Full=GTPase Obg|Full=G	347	1e-104
A5IKX2.1|OBG_THEP1|Full=GTPase Obg|Full=G	347	1e-104
C4L424.1|DNAJ_EXISA|Full=Chaperone protein DnaJ	343	3e-104
A8F478.1|OBG_PSELT|Full=GTPase Obg|Full=G	346	3e-104
O34507.1|PRKC_BACSU|Full=Serine/threonine-protein k	348	2e-102
B0S3Z4.1|OBG_FINM2|Full=GTPase Obg|Full=G	339	3e-102
B8CXL0.1|DNAJ_HALOH|Full=Chaperone protein DnaJ	337	6e-102
Q05852.1|GTAB_BACSU|Full=UTP--glucose-1-phosphate u	331	4e-101
A0Q1R3.1|DNAJ_CLONN|Full=Chaperone protein DnaJ	333	2e-100
C0QUB5.1|OBG_PERMH|Full=GTPase Obg|Full=G	330	3e-100
B1H0I4.1|OBG_ENDTX|Full=GTPase Obg|Full=G	333	5e-100
B5YEQ1.1|OBG_DICT6|Full=GTPase Obg|Full=G	333	7e-100
A5UZ80.1|OBG_ROSS1|Full=GTPase Obg|Full=G	333	8e-100
B9K736.1|OBG_THENN|Full=GTPase Obg|Full=G	333	1e-99 
P37887.3|CYSK_BACSU|Full=Cysteine synthase|Short=C	325	5e-99 
A8G9K9.1|DNAJ_SERP5|Full=Chaperone protein DnaJ	328	8e-99 
